qid	docid	query	title	TACM	PSCM	THCM	UBM	DBN	POM
q61220	d19256	神探 狄仁杰	神探 狄仁杰 前传 电视剧 全集 在线 观看 - 搜狗 电视剧	0.937381722524	0.935819962164	0.253183781707	0.208444345241	0.12458812039	1.0
q61220	d19257	神探 狄仁杰	神探 狄仁杰 （ 神探 狄仁杰 电视剧 系列 ）	0.300532092514	0.313932439972	0.25	0.0186883607341	0.00762559899417	0.5
q61220	d19258	神探 狄仁杰	神探 狄仁杰 吧 - 百度 贴 吧 - - 本 吧 是 致力于 文明 、 和谐 、 原创 的 官方 贴 吧 。	0.300369554289	0.300032888382	0.25	0.0352549042722	0.00871681341244	0.5
q61220	d19259	神探 狄仁杰	神探 狄仁杰 第一部 高清 版 ( 27 集全 )   -   播单   -   优酷 视频	0.661737757972	0.659655164929	0.9824	0.234762472425	0.0538694368943	1.0
q61220	d19260	神探 狄仁杰	神探 狄仁杰 第一部 - 电视剧 - 全集 高清 正版 视频 在线 观看 - 爱奇艺	0.570766031241	0.570096815945	0.845128205128	0.256370335446	0.0458417034771	1.0
q61220	d5	神探 狄仁杰	微信 , 是 一个 生活 方式	0.8722197744	0.870528273161	0.251661774274	0.787899024262	0.121741929936	1.0
q61220	d19261	神探 狄仁杰	神探 狄仁杰   第四部 _ 全集 _ 在线 观看   –   搜库	0.284011858126	0.283894813101	0.25	0.118126218291	0.0195615961594	0.5
q61220	d19262	神探 狄仁杰	神探 狄仁杰 播出 时间 ,	0.283370917153	0.283253086358	0.25	0.143689239743	0.0257127490878	0.5
q61220	d19263	神探 狄仁杰	神断 狄仁杰 - 神断 狄仁杰 全集 ( 1 - 44 全 ) - 神断 狄仁杰 剧情 介绍   -   搜狐 视频	0.656098843838	0.655632167894	0.25053280328	0.527770259284	0.118220934144	1.0
q61220	d19264	神探 狄仁杰	搜狗 影视 - 最新 电影 ， 最新 电视剧 免费 在线 观看	0.289122001534	0.289065169976	0.25	0.175918336673	0.0443287193758	0.5
